"Title","Author"
"THE MAMBA MENTALITY","by Kobe Bryant"
"DARK TOWERS","by David Enrich"
"OPEN BOOK","by Jessica Simpson with Kevin Carr Oâ€™Leary"
"A VERY STABLE GENIUS","by Philip Rucker and Carol Leonnig"
"UN-TRUMPING AMERICA","by Dan Pfeiffer"
"UNTIL THE END OF TIME","by Brian Greene"
"EDUCATED","by Tara Westover"
"PROFILES IN CORRUPTION","by Peter Schweizer"
"ON TYRANNY","by Timothy Snyder"
"JUST MERCY","by Bryan Stevenson"
"TALKING TO STRANGERS","by Malcolm Gladwell"
"SAPIENS","by Yuval Noah Harari"
"BECOMING","by Michelle Obama"
"THE BODY KEEPS THE SCORE","by Bessel van der Kolk"
"YOU NEVER FORGET YOUR FIRST","by Alexis Coe"
